ngan_hang,rate12,updated_at_vn,updated_at_webgia
MSB,5.3,2026-02-06 13:08:53,2026-02-06 13:00:23
MB,4.85,2026-02-06 13:08:53,2026-02-06 13:00:23
OCB,6.5,2026-02-06 13:08:53,2026-02-06 13:00:23
oceanbank,5.7,2026-02-06 13:08:53,2026-02-06 13:00:23
PGBank,7.2,2026-02-06 13:08:53,2026-02-06 13:00:23
PublicBank,6.2,2026-02-06 13:08:53,2026-02-06 13:00:23
PVcomBank,9.0,2026-02-06 13:08:53,2026-02-06 13:00:23
Saigonbank,6.3,2026-02-06 13:08:53,2026-02-06 13:00:23
SCB,3.7,2026-02-06 13:08:53,2026-02-06 13:00:23
SeABank,4.5,2026-02-06 13:08:53,2026-02-06 13:00:23
VCBNeo,5.3,2026-02-06 13:08:53,2026-02-06 13:00:23
VietCapitalBank,6.45,2026-02-06 13:08:53,2026-02-06 13:00:23
Vietcombank,4.6,2026-02-06 13:08:53,2026-02-06 13:00:23
VietinBank,5.2,2026-02-06 13:08:53,2026-02-06 13:00:23
VPBank,5.8,2026-02-06 13:08:53,2026-02-06 13:00:23
VRB,6.2,2026-02-06 13:08:53,2026-02-06 13:00:23
Agribank,4.7,2026-02-06 14:16:36,2026-02-06 14:10:23
Bắc Á,6.85,2026-02-06 14:16:36,2026-02-06 14:10:23
Bảo Việt,5.8,2026-02-06 14:16:36,2026-02-06 14:10:23
BIDV,5.2,2026-02-06 14:16:36,2026-02-06 14:10:23
GPBank,5.2,2026-02-06 14:16:36,2026-02-06 14:10:23
Hong Leong,4.6,2026-02-06 14:16:36,2026-02-06 14:10:23
Indovina,5.8,2026-02-06 14:16:36,2026-02-06 14:10:23
Kiên Long,5.5,2026-02-06 14:16:36,2026-02-06 14:10:23
MSB,5.3,2026-02-06 14:16:36,2026-02-06 14:10:23
MB,4.85,2026-02-06 14:16:36,2026-02-06 14:10:23
OCB,6.5,2026-02-06 14:16:36,2026-02-06 14:10:23
oceanbank,5.7,2026-02-06 14:16:36,2026-02-06 14:10:23
PGBank,7.2,2026-02-06 14:16:36,2026-02-06 14:10:23
PublicBank,6.2,2026-02-06 14:16:36,2026-02-06 14:10:23
PVcomBank,9.0,2026-02-06 14:16:36,2026-02-06 14:10:23
Saigonbank,6.3,2026-02-06 14:16:36,2026-02-06 14:10:23
SCB,3.7,2026-02-06 14:16:36,2026-02-06 14:10:23
SeABank,4.5,2026-02-06 14:16:36,2026-02-06 14:10:23
VCBNeo,5.3,2026-02-06 14:16:36,2026-02-06 14:10:23
VietCapitalBank,6.45,2026-02-06 14:16:36,2026-02-06 14:10:23
Vietcombank,4.6,2026-02-06 14:16:36,2026-02-06 14:10:23
VietinBank,5.2,2026-02-06 14:16:36,2026-02-06 14:10:23
VPBank,5.8,2026-02-06 14:16:36,2026-02-06 14:10:23
VRB,6.2,2026-02-06 14:16:36,2026-02-06 14:10:23
Agribank,4.7,2026-02-06 15:00:44,2026-02-06 15:00:23
Bắc Á,6.85,2026-02-06 15:00:44,2026-02-06 15:00:23
Bảo Việt,5.8,2026-02-06 15:00:44,2026-02-06 15:00:23
BIDV,5.2,2026-02-06 15:00:44,2026-02-06 15:00:23
GPBank,5.2,2026-02-06 15:00:44,2026-02-06 15:00:23
Hong Leong,4.6,2026-02-06 15:00:44,2026-02-06 15:00:23
Indovina,5.8,2026-02-06 15:00:44,2026-02-06 15:00:23
Kiên Long,5.5,2026-02-06 15:00:44,2026-02-06 15:00:23
MSB,5.3,2026-02-06 15:00:44,2026-02-06 15:00:23
MB,4.85,2026-02-06 15:00:44,2026-02-06 15:00:23
OCB,6.5,2026-02-06 15:00:44,2026-02-06 15:00:23
oceanbank,5.7,2026-02-06 15:00:44,2026-02-06 15:00:23
PGBank,7.2,2026-02-06 15:00:44,2026-02-06 15:00:23
PublicBank,6.2,2026-02-06 15:00:44,2026-02-06 15:00:23
PVcomBank,9.0,2026-02-06 15:00:44,2026-02-06 15:00:23
Saigonbank,6.3,2026-02-06 15:00:44,2026-02-06 15:00:23
SCB,3.7,2026-02-06 15:00:44,2026-02-06 15:00:23
SeABank,4.5,2026-02-06 15:00:44,2026-02-06 15:00:23
VCBNeo,5.3,2026-02-06 15:00:44,2026-02-06 15:00:23
VietCapitalBank,6.45,2026-02-06 15:00:44,2026-02-06 15:00:23
Vietcombank,4.6,2026-02-06 15:00:44,2026-02-06 15:00:23
VietinBank,5.2,2026-02-06 15:00:44,2026-02-06 15:00:23
VPBank,5.8,2026-02-06 15:00:44,2026-02-06 15:00:23
VRB,6.2,2026-02-06 15:00:44,2026-02-06 15:00:23
Agribank,4.7,2026-02-06 15:43:32,2026-02-06 15:40:23
Bắc Á,6.85,2026-02-06 15:43:32,2026-02-06 15:40:23
Bảo Việt,5.8,2026-02-06 15:43:32,2026-02-06 15:40:23
BIDV,5.2,2026-02-06 15:43:32,2026-02-06 15:40:23
GPBank,5.2,2026-02-06 15:43:32,2026-02-06 15:40:23
Hong Leong,4.6,2026-02-06 15:43:32,2026-02-06 15:40:23
Indovina,5.8,2026-02-06 15:43:32,2026-02-06 15:40:23
Kiên Long,5.5,2026-02-06 15:43:32,2026-02-06 15:40:23
MSB,5.3,2026-02-06 15:43:32,2026-02-06 15:40:23
MB,4.85,2026-02-06 15:43:32,2026-02-06 15:40:23
OCB,6.5,2026-02-06 15:43:32,2026-02-06 15:40:23
oceanbank,5.7,2026-02-06 15:43:32,2026-02-06 15:40:23
PGBank,7.2,2026-02-06 15:43:32,2026-02-06 15:40:23
PublicBank,6.2,2026-02-06 15:43:32,2026-02-06 15:40:23
PVcomBank,9.0,2026-02-06 15:43:32,2026-02-06 15:40:23
Saigonbank,6.3,2026-02-06 15:43:32,2026-02-06 15:40:23
SCB,3.7,2026-02-06 15:43:32,2026-02-06 15:40:23
SeABank,4.5,2026-02-06 15:43:32,2026-02-06 15:40:23
VCBNeo,5.3,2026-02-06 15:43:32,2026-02-06 15:40:23
VietCapitalBank,6.45,2026-02-06 15:43:32,2026-02-06 15:40:23
Vietcombank,4.6,2026-02-06 15:43:32,2026-02-06 15:40:23
VietinBank,5.2,2026-02-06 15:43:32,2026-02-06 15:40:23
VPBank,5.8,2026-02-06 15:43:32,2026-02-06 15:40:23
VRB,6.2,2026-02-06 15:43:32,2026-02-06 15:40:23
Agribank,4.7,2026-02-06 16:32:32,2026-02-06 16:30:23
Bắc Á,6.85,2026-02-06 16:32:32,2026-02-06 16:30:23
Bảo Việt,5.8,2026-02-06 16:32:32,2026-02-06 16:30:23
BIDV,5.2,2026-02-06 16:32:32,2026-02-06 16:30:23
GPBank,5.2,2026-02-06 16:32:32,2026-02-06 16:30:23
Hong Leong,4.6,2026-02-06 16:32:32,2026-02-06 16:30:23
Indovina,5.8,2026-02-06 16:32:32,2026-02-06 16:30:23
Kiên Long,5.5,2026-02-06 16:32:32,2026-02-06 16:30:23
MSB,5.3,2026-02-06 16:32:32,2026-02-06 16:30:23
MB,4.85,2026-02-06 16:32:32,2026-02-06 16:30:23
OCB,6.5,2026-02-06 16:32:32,2026-02-06 16:30:23
oceanbank,5.7,2026-02-06 16:32:32,2026-02-06 16:30:23
PGBank,7.2,2026-02-06 16:32:32,2026-02-06 16:30:23
PublicBank,6.2,2026-02-06 16:32:32,2026-02-06 16:30:23
PVcomBank,9.0,2026-02-06 16:32:32,2026-02-06 16:30:23
Saigonbank,6.3,2026-02-06 16:32:32,2026-02-06 16:30:23
SCB,3.7,2026-02-06 16:32:32,2026-02-06 16:30:23
