updated_at_vn,updated_at_webgia,interest_rate_state,interest_rate_market,interest_rate_spread,market_method,trusted_count,trusted_top3_used,trusted_top3_rates,n_big4,n_private,big4_used,source,note
2026-02-07 01:03:45,2026-02-06 18:50:23,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
2026-02-07 02:11:23,2026-02-06 18:50:23,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
2026-02-07 02:53:10,2026-02-06 18:50:23,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
2026-02-07 03:20:29,2026-02-06 18:50:23,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
2026-02-07 03:55:58,2026-02-06 18:50:23,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
2026-02-07 04:19:38,2026-02-06 18:50:23,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
2026-02-07 04:50:20,2026-02-06 18:50:23,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
2026-02-07 05:11:22,2026-02-06 18:50:23,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
2026-02-07 05:48:03,2026-02-06 18:50:23,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
2026-02-07 06:15:01,2026-02-06 18:50:23,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
2026-02-07 06:45:57,2026-02-06 18:50:23,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
2026-02-07 07:57:15,2026-02-07 07:50:24,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
2026-02-07 10:21:11,2026-02-07 10:20:23,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
2026-02-07 11:50:29,2026-02-07 11:50:23,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
2026-02-07 12:34:06,2026-02-07 12:30:23,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
2026-02-07 13:27:25,2026-02-07 13:20:23,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
2026-02-07 14:06:31,2026-02-07 14:00:23,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
2026-02-07 14:49:21,2026-02-07 14:40:22,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
2026-02-07 15:16:35,2026-02-07 15:10:23,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
2026-02-07 15:53:23,2026-02-07 15:50:22,4.92,5.32,0.4,fallback_trusted_mean,2,"VPBank, MB","5.8, 4.85",4,20,"Agribank, BIDV, Vietcombank, VietinBank",https://webgia.com/lai-suat/,term=12 tháng | state=AVG(Big4) | market=TOP3_TRUSTED_MEAN
