Ngày,Thời điểm cập nhật giá mới,Mã vàng,Loại vàng,Giá mua (VND/lượng),Giá bán (VND/lượng),Tỷ giá USD/VND,Chênh lệch giá VN – TG,Tỷ lệ chênh lệch (%),Chênh lệch giá mua (VND/lượng),Chênh lệch giá bán (VND/lượng)
2026-04-10,21:30:00,BT9999NTT,Bao Tin 9999,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,21:30:00,BTSJC,Bao Tin SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,21:30:00,DOHCML,DOJI HCM,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,21:30:00,DOHNL,DOJI Hanoi,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,21:30:00,DOJINHTV,DOJI Jewelry,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,21:30:00,PQHN24NTT,PNJ 24K,169500000.0,172500000.0,26231.561092,172500000.0,,0.0,0.0
2026-04-10,21:30:00,PQHNVM,PNJ Hanoi,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,21:30:00,SJ9999,SJC Ring,169400000.0,172400000.0,26231.561092,172400000.0,,0.0,0.0
2026-04-10,21:30:00,SJL1L10,SJC 9999,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,21:30:00,VIETTINMSJC,Viettin SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,21:30:00,VNGSJC,VN Gold SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,21:30:00,XAUUSD,World Gold (XAU/USD),151555722.43,0.0,26231.561092,,,433278.4,0.0
2026-04-10,22:30:00,BT9999NTT,Bao Tin 9999,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,22:30:00,BTSJC,Bao Tin SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,22:30:00,DOHCML,DOJI HCM,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,22:30:00,DOHNL,DOJI Hanoi,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,22:30:00,DOJINHTV,DOJI Jewelry,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,22:30:00,PQHN24NTT,PNJ 24K,169500000.0,172500000.0,26231.561092,172500000.0,,0.0,0.0
2026-04-10,22:30:00,PQHNVM,PNJ Hanoi,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,22:30:00,SJ9999,SJC Ring,169400000.0,172400000.0,26231.561092,172400000.0,,0.0,0.0
2026-04-10,22:30:00,SJL1L10,SJC 9999,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,22:30:00,VIETTINMSJC,Viettin SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,22:30:00,VNGSJC,VN Gold SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,22:30:00,XAUUSD,World Gold (XAU/USD),151198346.82,0.0,26231.561092,,,-357375.61,0.0
2026-04-10,23:30:00,BT9999NTT,Bao Tin 9999,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,23:30:00,BTSJC,Bao Tin SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,23:30:00,DOHCML,DOJI HCM,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,23:30:00,DOHNL,DOJI Hanoi,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,23:30:00,DOJINHTV,DOJI Jewelry,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,23:30:00,PQHN24NTT,PNJ 24K,169500000.0,172500000.0,26231.561092,172500000.0,,0.0,0.0
2026-04-10,23:30:00,PQHNVM,PNJ Hanoi,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,23:30:00,SJ9999,SJC Ring,169400000.0,172400000.0,26231.561092,172400000.0,,0.0,0.0
2026-04-10,23:30:00,SJL1L10,SJC 9999,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,23:30:00,VIETTINMSJC,Viettin SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,23:30:00,VNGSJC,VN Gold SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-10,23:30:00,XAUUSD,World Gold (XAU/USD),150616425.47,0.0,26231.561092,,,-581921.35,0.0
2026-04-11,00:30:00,BT9999NTT,Bao Tin 9999,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,00:30:00,BTSJC,Bao Tin SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,00:30:00,DOHCML,DOJI HCM,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,00:30:00,DOHNL,DOJI Hanoi,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,00:30:00,DOJINHTV,DOJI Jewelry,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,00:30:00,PQHN24NTT,PNJ 24K,169500000.0,172500000.0,26231.561092,172500000.0,,0.0,0.0
2026-04-11,00:30:00,PQHNVM,PNJ Hanoi,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,00:30:00,SJ9999,SJC Ring,169400000.0,172400000.0,26231.561092,172400000.0,,0.0,0.0
2026-04-11,00:30:00,SJL1L10,SJC 9999,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,00:30:00,VIETTINMSJC,Viettin SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,00:30:00,VNGSJC,VN Gold SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,00:30:00,XAUUSD,World Gold (XAU/USD),150774556.27,0.0,26231.561092,,,158130.8,0.0
2026-04-11,01:30:00,BT9999NTT,Bao Tin 9999,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,01:30:00,BTSJC,Bao Tin SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,01:30:00,DOHCML,DOJI HCM,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,01:30:00,DOHNL,DOJI Hanoi,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,01:30:00,DOJINHTV,DOJI Jewelry,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,01:30:00,PQHN24NTT,PNJ 24K,169500000.0,172500000.0,26231.561092,172500000.0,,0.0,0.0
2026-04-11,01:30:00,PQHNVM,PNJ Hanoi,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,01:30:00,SJ9999,SJC Ring,169400000.0,172400000.0,26231.561092,172400000.0,,0.0,0.0
2026-04-11,01:30:00,SJL1L10,SJC 9999,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,01:30:00,VIETTINMSJC,Viettin SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,01:30:00,VNGSJC,VN Gold SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,01:30:00,XAUUSD,World Gold (XAU/USD),150768231.04,0.0,26231.561092,,,-6325.23,0.0
2026-04-11,02:30:00,BT9999NTT,Bao Tin 9999,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,02:30:00,BTSJC,Bao Tin SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,02:30:00,DOHCML,DOJI HCM,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,02:30:00,DOHNL,DOJI Hanoi,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,02:30:00,DOJINHTV,DOJI Jewelry,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,02:30:00,PQHN24NTT,PNJ 24K,169500000.0,172500000.0,26231.561092,172500000.0,,0.0,0.0
2026-04-11,02:30:00,PQHNVM,PNJ Hanoi,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,02:30:00,SJ9999,SJC Ring,169400000.0,172400000.0,26231.561092,172400000.0,,0.0,0.0
2026-04-11,02:30:00,SJL1L10,SJC 9999,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,02:30:00,VIETTINMSJC,Viettin SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,02:30:00,VNGSJC,VN Gold SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,02:30:00,XAUUSD,World Gold (XAU/USD),150742930.11,0.0,26231.561092,,,-25300.93,0.0
2026-04-11,03:30:00,BT9999NTT,Bao Tin 9999,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,03:30:00,BTSJC,Bao Tin SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,03:30:00,DOHCML,DOJI HCM,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,03:30:00,DOHNL,DOJI Hanoi,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,03:30:00,DOJINHTV,DOJI Jewelry,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,03:30:00,PQHN24NTT,PNJ 24K,169500000.0,172500000.0,26231.561092,172500000.0,,0.0,0.0
2026-04-11,03:30:00,PQHNVM,PNJ Hanoi,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,03:30:00,SJ9999,SJC Ring,169400000.0,172400000.0,26231.561092,172400000.0,,0.0,0.0
2026-04-11,03:30:00,SJL1L10,SJC 9999,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,03:30:00,VIETTINMSJC,Viettin SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,03:30:00,VNGSJC,VN Gold SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,03:30:00,XAUUSD,World Gold (XAU/USD),150123057.37,0.0,26231.561092,,,-619872.74,0.0
2026-04-11,04:30:00,BT9999NTT,Bao Tin 9999,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,04:30:00,BTSJC,Bao Tin SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,04:30:00,DOHCML,DOJI HCM,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,04:30:00,DOHNL,DOJI Hanoi,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,04:30:00,DOJINHTV,DOJI Jewelry,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,04:30:00,PQHN24NTT,PNJ 24K,169500000.0,172500000.0,26231.561092,172500000.0,,0.0,0.0
2026-04-11,04:30:00,PQHNVM,PNJ Hanoi,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,04:30:00,SJ9999,SJC Ring,169400000.0,172400000.0,26231.561092,172400000.0,,0.0,0.0
2026-04-11,04:30:00,SJL1L10,SJC 9999,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,04:30:00,VIETTINMSJC,Viettin SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,04:30:00,VNGSJC,VN Gold SJC,169700000.0,172700000.0,26231.561092,172700000.0,,0.0,0.0
2026-04-11,04:30:00,XAUUSD,World Gold (XAU/USD),150198960.16,0.0,26231.561092,,,75902.78,0.0
