Ngày,Thời điểm cập nhật giá mới,Thời điểm cập nhật dữ liệu,Mã vàng,Loại vàng,Giá mua,Giá bán,Day change buy,Day change sell,Currency,Số lần update
2026-04-20,07:30:00,2026-04-20 07:59:34.604,DOJINHTV,DOJI Jewelry,168500000.0,171500000,,,,1
2026-04-20,07:30:00,2026-04-20 07:59:34.604,PQHN24NTT,PNJ 24K,168500000.0,171500000,,,,1
2026-04-20,07:30:00,2026-04-20 07:59:34.604,PQHNVM,PNJ Hanoi,168500000.0,172000000,,,,1
2026-04-20,07:30:00,2026-04-20 07:59:34.604,SJ9999,SJC Ring,168000000.0,171500000,,,,1
2026-04-20,07:30:00,2026-04-20 07:59:34.604,SJL1L10,SJC 9999,168500000.0,172000000,,,,1
2026-04-20,07:30:00,2026-04-20 07:59:34.604,VIETTINMSJC,Viettin SJC,167500000.0,171000000,,,,1
2026-04-20,07:30:00,2026-04-20 07:59:34.604,VNGSJC,VN Gold SJC,168500000.0,172000000,,,,1
2026-04-20,07:30:00,2026-04-20 07:59:34.604,XAUUSD,World Gold (XAU/USD),4764.9,0,,,,1
2026-04-20,08:30:00,2026-04-20 08:59:36.357,BT9999NTT,Bao Tin 9999,168500000.0,171500000,,,,1
2026-04-20,08:30:00,2026-04-20 08:59:36.357,BTSJC,Bao Tin SJC,168500000.0,172000000,,,,1
2026-04-20,08:30:00,2026-04-20 08:59:36.357,DOHCML,DOJI HCM,168500000.0,172000000,,,,1
2026-04-20,08:30:00,2026-04-20 08:59:36.357,DOHNL,DOJI Hanoi,168500000.0,172000000,,,,1
2026-04-20,08:30:00,2026-04-20 08:59:36.357,DOJINHTV,DOJI Jewelry,168500000.0,171500000,,,,1
2026-04-20,08:30:00,2026-04-20 08:59:36.357,PQHN24NTT,PNJ 24K,167300000.0,170800000,,,,1
2026-04-20,08:30:00,2026-04-20 08:59:36.357,PQHNVM,PNJ Hanoi,167300000.0,170800000,,,,1
2026-04-20,08:30:00,2026-04-20 08:59:36.357,SJ9999,SJC Ring,168000000.0,171500000,,,,1
2026-04-20,08:30:00,2026-04-20 08:59:36.357,SJL1L10,SJC 9999,167300000.0,170800000,,,,1
2026-04-20,08:30:00,2026-04-20 08:59:36.357,VIETTINMSJC,Viettin SJC,167500000.0,171000000,,,,1
2026-04-20,08:30:00,2026-04-20 08:59:36.357,VNGSJC,VN Gold SJC,168500000.0,172000000,,,,1
2026-04-20,08:30:00,2026-04-20 08:59:36.357,XAUUSD,World Gold (XAU/USD),4803.4,0,,,,1
2026-04-20,09:30:00,2026-04-20 09:59:35.028,BT9999NTT,Bao Tin 9999,168000000.0,171000000,,,,1
2026-04-20,09:30:00,2026-04-20 09:59:35.028,BTSJC,Bao Tin SJC,168300000.0,171300000,,,,1
2026-04-20,09:30:00,2026-04-20 09:59:35.028,DOHCML,DOJI HCM,168300000.0,171300000,,,,1
2026-04-20,09:30:00,2026-04-20 09:59:35.028,DOHNL,DOJI Hanoi,168300000.0,171300000,,,,1
2026-04-20,09:30:00,2026-04-20 09:59:35.028,DOJINHTV,DOJI Jewelry,168300000.0,171300000,,,,1
2026-04-20,09:30:00,2026-04-20 09:59:35.028,PQHN24NTT,PNJ 24K,168000000.0,171000000,,,,1
2026-04-20,09:30:00,2026-04-20 09:59:35.028,PQHNVM,PNJ Hanoi,168300000.0,171300000,,,,1
2026-04-20,09:30:00,2026-04-20 09:59:35.028,SJ9999,SJC Ring,167800000.0,170800000,,,,1
2026-04-20,09:30:00,2026-04-20 09:59:35.028,SJL1L10,SJC 9999,168300000.0,171300000,,,,1
2026-04-20,09:30:00,2026-04-20 09:59:35.028,VIETTINMSJC,Viettin SJC,168300000.0,171300000,,,,1
2026-04-20,09:30:00,2026-04-20 09:59:35.028,VNGSJC,VN Gold SJC,168300000.0,171300000,,,,1
2026-04-20,09:30:00,2026-04-20 09:59:35.028,XAUUSD,World Gold (XAU/USD),4801.0,0,,,,1
2026-04-20,10:30:00,2026-04-20 10:59:35.216,BT9999NTT,Bao Tin 9999,168000000.0,171000000,,,,1
2026-04-20,10:30:00,2026-04-20 10:59:35.216,BTSJC,Bao Tin SJC,168300000.0,171300000,,,,1
2026-04-20,10:30:00,2026-04-20 10:59:35.216,DOHCML,DOJI HCM,168300000.0,171300000,,,,1
2026-04-20,10:30:00,2026-04-20 10:59:35.216,DOHNL,DOJI Hanoi,168300000.0,171300000,,,,1
2026-04-20,10:30:00,2026-04-20 10:59:35.216,DOJINHTV,DOJI Jewelry,168300000.0,171300000,,,,1
2026-04-20,10:30:00,2026-04-20 10:59:35.216,PQHN24NTT,PNJ 24K,168000000.0,171000000,,,,1
2026-04-20,10:30:00,2026-04-20 10:59:35.216,PQHNVM,PNJ Hanoi,168300000.0,171300000,,,,1
